id,name,description,category,subcategory,item_type,brand,price,currency,sizes_available,colors_available,material,care_instructions,rating,review_count,availability,season,gender,age_group,style,tags,eco_friendly,made_in,release_date
1,Tommy Hilfiger Urban Flats,Stylish flats with tailored fit design. Perfect for casual wear. Made from high-quality polyester. Machine Washable.,Fashion,Shoes,flats,Tommy Hilfiger,233.4,USD,"7, 10, 5, 6, 9, 12","Brown, Pink",denim,delicate cycle,4.9,707,In Stock,All Season,Men,Adult,Trendy,"flats, Tommy Hilfiger, Signature, fashion",True,Bangladesh,2024-12-04
2,Levi's Urban Skirts,Stylish skirts with slim fit design. Perfect for weekend outings. Made from high-quality linen. Delicate Cycle.,Fashion,Clothing,skirts,Levi's,198.24,USD,"L, S, XL, XS, M, XXL","Brown, Red, Green, Gray, Navy",wool,hand wash recommended,3.9,945,In Stock,Fall/Winter,Women,Kids,Formal,"skirts, Levi's, Casual, fashion",True,Bangladesh,2025-04-12
3,Levi's Urban Hats,Stylish hats with regular fit design. Perfect for business meetings. Made from high-quality synthetic blend. Machine Washable.,Fashion,Accessories,hats,Levi's,88.85,USD,"9, 6, 10, 8","Black, Green, Navy, Beige, Brown",polyester,hand wash recommended,4.6,213,Out of Stock,Spring/Summer,Unisex,Teen,Formal,"hats, Levi's, Designer, fashion",True,Bangladesh,2025-03-23
4,Adidas Urban Sweaters,Stylish sweaters with slim fit design. Perfect for formal occasions. Made from high-quality denim. Machine Washable.,Fashion,Clothing,sweaters,Adidas,207.56,USD,"L, M, XXL, XL, S","Pink, Beige",synthetic blend,dry clean only,3.0,48,In Stock,All Season,Women,Adult,Sporty,"sweaters, Adidas, Essential, fashion",False,USA,2025-05-22
5,Ralph Lauren Vintage Hats,Stylish hats with oversized design. Perfect for casual wear. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Accessories,hats,Ralph Lauren,125.52,USD,"9, 6, 10, 7, 8","Red, Pink, Brown",polyester,dry clean only,4.5,297,Limited Stock,All Season,Unisex,Adult,Formal,"hats, Ralph Lauren, Designer, fashion",True,Vietnam,2025-07-20
6,H&M Casual Jewelry,Stylish jewelry with slim fit design. Perfect for casual wear. Made from high-quality cotton. Machine Washable.,Fashion,Accessories,jewelry,H&M,462.28,USD,"11, 6, 10, 9, 8, 5","Beige, Brown",polyester,hand wash recommended,3.7,519,In Stock,All Season,Women,Teen,Sporty,"jewelry, H&M, Vintage, fashion",True,Italy,2025-06-23
7,Uniqlo Vintage Boots,Stylish boots with slim fit design. Perfect for business meetings. Made from high-quality linen. Delicate Cycle.,Fashion,Shoes,boots,Uniqlo,267.52,USD,"8, 7, 11, 5, 6","Red, Blue, Navy, Gray, Beige",silk,dry clean only,4.6,157,In Stock,Spring/Summer,Women,Adult,Trendy,"boots, Uniqlo, Classic, fashion",False,USA,2025-04-20
8,Calvin Klein Modern Boots,Stylish boots with relaxed fit design. Perfect for business meetings. Made from high-quality silk. Hand Wash Recommended.,Fashion,Shoes,boots,Calvin Klein,375.1,USD,"10, 11, 9, 12","Green, Navy, Pink, Red, Black",cotton,machine washable,3.9,204,In Stock,Spring/Summer,Women,Teen,Sporty,"boots, Calvin Klein, Designer, fashion",False,USA,2025-04-17
9,Calvin Klein Formal Jeans,Stylish jeans with tailored fit design. Perfect for business meetings. Made from high-quality polyester. Dry Clean Only.,Fashion,Clothing,jeans,Calvin Klein,163.44,USD,"XS, S, L","Red, Black, White, Brown, Navy",linen,dry clean only,3.2,723,Out of Stock,All Season,Men,Kids,Business,"jeans, Calvin Klein, Modern, fashion",True,Italy,2024-11-16
10,H&M Premium Jackets,Stylish jackets with slim fit design. Perfect for weekend outings. Made from high-quality leather. Machine Washable.,Fashion,Clothing,jackets,H&M,192.3,USD,"XL, XXL, M, S, XS","White, Red, Black, Brown, Green",leather,hand wash recommended,3.7,281,In Stock,Fall/Winter,Women,Adult,Business,"jackets, H&M, Classic, fashion",False,Italy,2024-09-30
11,Levi's Modern Skirts,Stylish skirts with regular fit design. Perfect for weekend outings. Made from high-quality linen. Delicate Cycle.,Fashion,Clothing,skirts,Levi's,118.18,USD,"L, XS, M, S, XL, XXL","Gray, Red, Black",synthetic blend,hand wash recommended,3.1,220,Limited Stock,All Season,Women,Kids,Casual,"skirts, Levi's, Premium, fashion",True,Italy,2025-01-10
12,Gap Classic Shorts,Stylish shorts with regular fit design. Perfect for weekend outings. Made from high-quality denim. Delicate Cycle.,Fashion,Clothing,shorts,Gap,59.65,USD,"XXL, XS, S","Brown, White, Navy, Blue",silk,dry clean only,4.4,1468,In Stock,Fall/Winter,Men,Adult,Formal,"shorts, Gap, Vintage, fashion",False,Turkey,2024-11-30
13,Gap Urban Athletic Shoes,Stylish athletic shoes with regular fit design. Perfect for business meetings. Made from high-quality denim. Hand Wash Recommended.,Fashion,Shoes,athletic shoes,Gap,181.35,USD,"6, 11, 12","Gray, Black, Navy",silk,dry clean only,4.1,1006,In Stock,Spring/Summer,Women,Teen,Sporty,"athletic shoes, Gap, Urban, fashion",False,Italy,2025-02-11
14,Gap Signature Shorts,Stylish shorts with regular fit design. Perfect for formal occasions. Made from high-quality cotton. Hand Wash Recommended.,Fashion,Clothing,shorts,Gap,157.86,USD,"S, XL, M, XXL, XS","Black, Brown, White, Gray",cotton,delicate cycle,4.6,409,In Stock,Spring/Summer,Women,Teen,Casual,"shorts, Gap, Premium, fashion",True,Italy,2025-06-15
