id,name,description,category,subcategory,brand,price,currency,rating,review_count,availability,features,tags,color,weight_kg,dimensions_cm,material,country_origin,warranty_months,eco_friendly,release_date,sku
1,ASUS Blade 284,"Premium portable computer with exceptional performance and build quality. Featuring lightweight design, fast charging, backlit keyboard. ",Electronics,Laptops,ASUS,1103.96,USD,3.3,21,In Stock,"lightweight design, fast charging, backlit keyboard","ASUS, lightweight design, fast charging, backlit keyboard",White,3.31,60x87x62,Plastic,Vietnam,12,True,2025-03-29,ASU-LAP-000001
2,Williams Sonoma Luxury decor accessories,"Practical home solution with contemporary aesthetic appeal. Featuring space-saving, modern design, eco-friendly. Dimensions: 114x21x70cm. Crafted from fabric.",Home & Garden,Home Decor,Williams Sonoma,472.59,USD,4.0,2331,In Stock,"space-saving, modern design, eco-friendly, easy assembly","Williams Sonoma, space-saving, easy assembly, modern design, eco-friendly",Green,22.37,120x42x53,Rubber,Japan,24,True,2023-03-27,WIL-HOM-000002
3,Restoration Hardware Essential bedding,"Practical home solution with contemporary aesthetic appeal. Featuring modern design, premium quality, affordable pricing. Dimensions: 120x148x33cm. Crafted from wood.",Home & Garden,Home Decor,Restoration Hardware,811.29,USD,3.8,2667,In Stock,"modern design, premium quality, affordable pricing, functional design","affordable pricing, Restoration Hardware, functional design, modern design, premium quality",Purple,22.11,47x29x59,Glass,South Korea,60,False,2025-03-25,RES-HOM-000003
4,CB2 Modern lighting,"Modern home furnishing that combines style and functionality. Featuring space-saving, affordable pricing, durable materials. Dimensions: 138x116x85cm. Crafted from fabric.",Home & Garden,Home Decor,CB2,519.95,USD,4.4,3547,Out of Stock,"space-saving, affordable pricing, durable materials, modern design, premium quality","space-saving, CB2, durable materials, affordable pricing, premium quality, modern design",Gray,21.35,96x50x61,Ceramic,Vietnam,60,False,2023-08-09,CB2-HOM-000004
5,HomeGoods Luxury storage,"Premium home accessory crafted with attention to detail and quality. Featuring stylish appearance, easy assembly, affordable pricing. Dimensions: 36x14x15cm. Crafted from metal.",Home & Garden,Home Decor,HomeGoods,385.57,USD,4.0,1492,In Stock,"stylish appearance, easy assembly, affordable pricing, versatile use, eco-friendly","affordable pricing, easy assembly, HomeGoods, eco-friendly, versatile use, stylish appearance",Brown,0.98,45x41x29,Plastic,India,6,True,2025-06-05,HOM-HOM-000005
6,JBL SRH 452,"Professional-grade headphones for audiophiles and content creators. Featuring voice assistant, noise cancellation, foldable design. ",Electronics,Headphones,JBL,596.36,USD,3.1,3516,In Stock,"voice assistant, noise cancellation, foldable design, touch controls","foldable design, noise cancellation, JBL, voice assistant, touch controls",Purple,8.62,102x141x3,Plastic,USA,12,False,2024-02-08,JBL-HEA-000006
7,Ralph Lauren Essential shoes,"Premium fashion item with attention to detail and quality craftsmanship. Featuring all-season wear, modern design, versatile styling. Made from high-quality wool. Available in sizes XS-XXL-XL.",Fashion,Clothing,Ralph Lauren,111.18,USD,2.6,1734,In Stock,"all-season wear, modern design, versatile styling, breathable fabric","versatile styling, modern design, all-season wear, breathable fabric, Ralph Lauren",Blue,20.76,150x9x80,Wood,India,6,False,2024-05-10,RAL-CLO-000007
8,OnePlus Plus 866,"Premium mobile phone with professional-grade camera and fast performance. Featuring fingerprint sensor, wireless charging, multiple cameras. ",Electronics,Smartphones,OnePlus,784.81,USD,4.2,4185,In Stock,"fingerprint sensor, wireless charging, multiple cameras, fast charging","wireless charging, multiple cameras, OnePlus, fast charging, fingerprint sensor",Gray,6.47,51x46x25,Ceramic,Japan,24,True,2022-08-27,ONE-SMA-000008
9,Apple WH 978,"High-fidelity audio experience with advanced driver technology. Featuring foldable design, multipoint connection, noise cancellation. ",Electronics,Headphones,Apple,434.5,USD,4.8,3475,Limited Stock,"foldable design, multipoint connection, noise cancellation, quick charge, wireless connectivity","multipoint connection, Apple, foldable design, noise cancellation, wireless connectivity, quick charge",Green,4.16,14x34x85,Glass,Japan,12,True,2023-12-30,APP-HEA-000009
10,Bose QuietComfort 914,"Noise-cancelling headphones perfect for travel and focused listening. Featuring foldable design, long battery life. ",Electronics,Headphones,Bose,184.3,USD,3.0,1682,In Stock,"foldable design, long battery life","Bose, long battery life, foldable design",Green,21.15,49x69x30,Metal,Japan,24,True,2023-09-10,BOS-HEA-000010
