id,name,description,category,subcategory,brand,specifications,features,price,currency,rating,review_count,availability,color,warranty_months,release_date,tags
1,MSI ZenBook 13,"Powerful laptop designed for professional work and creative tasks. Features fast charging, long battery life, backlit keyboard, fast processor, SSD storage, dedicated graphics. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,MSI,"8GB RAM, 1024GB SSD, AMD processor","fast charging, long battery life, backlit keyboard, fast processor, SSD storage, dedicated graphics",2299.93,USD,4.8,887,Limited Stock,White,12,2024-07-11,"fast processor, MSI, SSD storage, backlit keyboard, laptops"
2,MSI ThinkPad 15,"High-performance notebook with advanced features and sleek design. Features premium build quality, high resolution display, fast charging. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,MSI,"16GB RAM, 256GB SSD, AMD processor","premium build quality, high resolution display, fast charging",1923.94,USD,3.7,602,In Stock,White,12,2025-03-26,"MSI, fast charging, laptops, premium build quality, high resolution display"
3,Microsoft Blade 13,"Powerful laptop designed for professional work and creative tasks. Features fast charging, long battery life, SSD storage. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Microsoft,"8GB RAM, 256GB SSD, AMD processor","fast charging, long battery life, SSD storage",1106.88,USD,3.9,951,Limited Stock,Red,36,2025-01-02,"Microsoft, SSD storage, fast charging, long battery life, laptops"
4,Oppo Pro 15 Ultra,"Advanced mobile device featuring latest processor and camera system. Features face recognition, premium build, high refresh rate. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Oppo,"256GB storage, 8GB RAM","face recognition, premium build, high refresh rate",1278.8,USD,3.6,1136,Out of Stock,White,24,2023-10-23,"high refresh rate, premium build, Oppo, smartphones, face recognition"
5,Alienware Inspiron 16,"Versatile laptop perfect for business, gaming, and multimedia use. Features SSD storage, dedicated graphics, backlit keyboard. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Alienware,"32GB RAM, 512GB SSD, AMD processor","SSD storage, dedicated graphics, backlit keyboard",2976.19,USD,4.1,296,Limited Stock,Rose Gold,24,2025-06-15,"dedicated graphics, SSD storage, laptops, Alienware, backlit keyboard"
6,HP Blade 16,"Powerful laptop designed for professional work and creative tasks. Features backlit keyboard, premium build quality, lightweight design. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,HP,"8GB RAM, 256GB SSD, Intel processor","backlit keyboard, premium build quality, lightweight design",1290.33,USD,3.9,835,In Stock,White,36,2023-12-14,"laptops, HP, lightweight design, backlit keyboard, premium build quality"
7,Sony QuietComfort 871,"High-fidelity audio experience with advanced driver technology. Features foldable design, touch controls, multipoint connection. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Sony,"53mm drivers, 30h battery life","foldable design, touch controls, multipoint connection",283.18,USD,4.4,562,In Stock,Blue,36,2023-12-08,"multipoint connection, headphones, Sony, touch controls, foldable design"
8,Oppo Pro 11,"Premium mobile phone with professional-grade camera and fast performance. Features wireless charging, OLED display, 5G connectivity, face recognition, premium build, fast charging. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Oppo,"256GB storage, 12GB RAM","wireless charging, OLED display, 5G connectivity, face recognition, premium build, fast charging",1185.36,USD,3.9,1441,Out of Stock,Blue,24,2024-08-29,"wireless charging, 5G connectivity, OLED display, Oppo, face recognition"
9,Google Ultra 11 Max,"Advanced mobile device featuring latest processor and camera system. Features OLED display, face recognition, multiple cameras, water resistant, wireless charging. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Google,"128GB storage, 8GB RAM","OLED display, face recognition, multiple cameras, water resistant, wireless charging",808.9,USD,4.8,1640,Limited Stock,Blue,36,2024-03-29,"face recognition, smartphones, wireless charging, multiple cameras, OLED display"
10,JBL SRH 811,"Professional-grade headphones for audiophiles and content creators. Features noise cancellation, wireless connectivity, premium sound quality, foldable design, multipoint connection, voice assistant. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,JBL,"40mm drivers, 50h battery life","noise cancellation, wireless connectivity, premium sound quality, foldable design, multipoint connection, voice assistant",201.7,USD,4.3,806,Out of Stock,Black,24,2024-01-05,"foldable design, voice assistant, JBL, multipoint connection, noise cancellation"
